Timestamp,What is your major at Cypress College?,Which program is your major aligned with?,Which program do you believe to be the hardest?,Which program do you believe to be the easiest?
10/28/2024 12:57:44,Computer Science,"Science, Engineering, Math","Science, Engineering, Math","Science, Engineering, Math"
10/28/2024 12:59:26,Business Management ,Business & Computer Information Systems,"Science, Engineering, Math",Language Arts
10/28/2024 13:00:18,sonography ,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 13:00:21,radiology technology,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 13:02:50,Biology ,Health Science,Health Science,"Science, Engineering, Math"
10/28/2024 13:03:04,Theatre,Visual & Performing Arts,"Science, Engineering, Math",Kinesiology
10/28/2024 13:04:20,"undeclared/ considering majoring in marketing, business, or fashion relations ",Undecided,Health Science,Visual & Performing Arts
10/28/2024 13:19:18,Kinesiology,Kinesiology,"Science, Engineering, Math",Social Sciences
10/28/2024 13:23:10,Nursing,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 13:42:52,economics,Social Sciences,"Science, Engineering, Math",Social Sciences
10/28/2024 18:40:53,Biology,"Science, Engineering, Math","Science, Engineering, Math",Language Arts
10/28/2024 19:30:28,Comp Sci,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 22:28:52,business admin ,Business & Computer Information Systems,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 22:29:39,Economics,Business & Computer Information Systems,"Science, Engineering, Math",Visual & Performing Arts
10/29/2024 14:30:40,Data Analytics,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
